Symbol,Timeframe,Window,IS Start,IS End,OOS Start,OOS End,Return (%),Trades,Win Rate (%),ReturnsFile,param_ma_length,param_initial_percent,param_percent_step,param_pyramiding
NEARUSDT,30min,22,2024-07-29,2024-10-21,2024-10-21,2024-11-04,2.070391652000003,4,50.0,reports_walkforward/returns_NEARUSDT_30min.pkl,49,5,2,4
NEARUSDT,30min,23,2024-08-12,2024-11-04,2024-11-04,2024-11-18,5.912099592000009,12,75.0,reports_walkforward/returns_NEARUSDT_30min.pkl,51,5,1,4
NEARUSDT,30min,24,2024-08-26,2024-11-18,2024-11-18,2024-12-02,14.522690143999917,10,100.0,reports_walkforward/returns_NEARUSDT_30min.pkl,49,5,1,4
NEARUSDT,30min,25,2024-09-09,2024-12-02,2024-12-02,2024-12-16,4.683250407999973,9,88.88888888888889,reports_walkforward/returns_NEARUSDT_30min.pkl,54,5,2,3
NEARUSDT,30min,26,2024-09-23,2024-12-16,2024-12-16,2024-12-30,-4.01333784000002,5,60.0,reports_walkforward/returns_NEARUSDT_30min.pkl,53,5,1,2
NEARUSDT,30min,27,2024-10-07,2024-12-30,2024-12-30,2025-01-13,-7.356602020000014,4,50.0,reports_walkforward/returns_NEARUSDT_30min.pkl,52,5,1,2
NEARUSDT,30min,28,2024-10-21,2025-01-13,2025-01-13,2025-01-27,14.791236975999954,9,88.88888888888889,reports_walkforward/returns_NEARUSDT_30min.pkl,53,5,2,2
NEARUSDT,30min,29,2024-11-04,2025-01-27,2025-01-27,2025-02-10,-0.5266022199999831,8,75.0,reports_walkforward/returns_NEARUSDT_30min.pkl,47,5,2,3
NEARUSDT,30min,30,2024-11-18,2025-02-10,2025-02-10,2025-02-24,2.8141282559999814,4,75.0,reports_walkforward/returns_NEARUSDT_30min.pkl,54,5,1,1
NEARUSDT,30min,31,2024-12-02,2025-02-24,2025-02-24,2025-03-10,-1.6606456520000035,4,50.0,reports_walkforward/returns_NEARUSDT_30min.pkl,50,5,2,1
NEARUSDT,30min,32,2024-12-16,2025-03-10,2025-03-10,2025-03-24,3.6180264840000254,2,100.0,reports_walkforward/returns_NEARUSDT_30min.pkl,53,6,2,1
NEARUSDT,30min,33,2024-12-30,2025-03-24,2025-03-24,2025-04-03,4.226155595999992,1,100.0,reports_walkforward/returns_NEARUSDT_30min.pkl,51,5,1,1
INJUSDT,15min,1,2023-10-09,2024-01-01,2024-01-01,2024-01-15,12.220149656000023,5,80.0,reports_walkforward/returns_INJUSDT_15min.pkl,43,8,2,2
INJUSDT,15min,2,2023-10-23,2024-01-15,2024-01-15,2024-01-29,2.120576535999996,1,100.0,reports_walkforward/returns_INJUSDT_15min.pkl,43,8,2,2
INJUSDT,15min,3,2023-11-06,2024-01-29,2024-01-29,2024-02-12,0.0,0,0.0,reports_walkforward/returns_INJUSDT_15min.pkl,47,7,2,2
INJUSDT,15min,4,2023-11-20,2024-02-12,2024-02-12,2024-02-26,4.095774843999989,2,100.0,reports_walkforward/returns_INJUSDT_15min.pkl,48,7,2,2
INJUSDT,15min,5,2023-12-04,2024-02-26,2024-02-26,2024-03-11,20.63062848799997,9,88.88888888888889,reports_walkforward/returns_INJUSDT_15min.pkl,48,7,2,2
INJUSDT,15min,6,2023-12-18,2024-03-11,2024-03-11,2024-03-25,-8.04682524,6,33.33333333333333,reports_walkforward/returns_INJUSDT_15min.pkl,48,7,2,1
INJUSDT,15min,7,2024-01-01,2024-03-25,2024-03-25,2024-04-08,3.830780467999939,4,75.0,reports_walkforward/returns_INJUSDT_15min.pkl,47,6,1,1
INJUSDT,15min,8,2024-01-15,2024-04-08,2024-04-08,2024-04-22,-1.097006767999953,10,50.0,reports_walkforward/returns_INJUSDT_15min.pkl,48,5,1,1
INJUSDT,15min,9,2024-01-29,2024-04-22,2024-04-22,2024-05-06,3.2038632520000165,3,66.66666666666666,reports_walkforward/returns_INJUSDT_15min.pkl,54,5,2,1
INJUSDT,15min,10,2024-02-12,2024-05-06,2024-05-06,2024-05-20,1.3532331760000238,3,66.66666666666666,reports_walkforward/returns_INJUSDT_15min.pkl,46,6,2,2
INJUSDT,15min,11,2024-02-26,2024-05-20,2024-05-20,2024-06-03,-0.8627946279999965,2,50.0,reports_walkforward/returns_INJUSDT_15min.pkl,46,6,2,1
INJUSDT,15min,12,2024-03-11,2024-06-03,2024-06-03,2024-06-17,17.954688344000047,3,100.0,reports_walkforward/returns_INJUSDT_15min.pkl,53,8,2,1
INJUSDT,15min,13,2024-03-25,2024-06-17,2024-06-17,2024-07-01,-1.4551394359999859,2,50.0,reports_walkforward/returns_INJUSDT_15min.pkl,54,7,2,2
INJUSDT,15min,14,2024-04-08,2024-07-01,2024-07-01,2024-07-15,10.460588968000128,7,71.42857142857143,reports_walkforward/returns_INJUSDT_15min.pkl,51,6,2,1
INJUSDT,15min,15,2024-04-22,2024-07-15,2024-07-15,2024-07-29,1.1564912759999935,2,100.0,reports_walkforward/returns_INJUSDT_15min.pkl,50,6,1,2
INJUSDT,15min,16,2024-05-06,2024-07-29,2024-07-29,2024-08-12,3.3325323120000583,4,75.0,reports_walkforward/returns_INJUSDT_15min.pkl,45,6,1,1
INJUSDT,15min,17,2024-05-20,2024-08-12,2024-08-12,2024-08-26,0.0,0,0.0,reports_walkforward/returns_INJUSDT_15min.pkl,48,7,1,2
